sku;gtin;name;brand;price;tax;measureUnit
PIRRES10UN;7896582100015;Repelente em Spiral;Pirisa;5.99;0;un
ESPEBA1UN;7898909772264;Esponja de Banho Adulto para  Banho;ESPONFLORA;1.99;0;un
SKAKSS2UN;7897042013838;Kit de shampoo sem sal Vegano e condicionador Banana e Bacuri ;SKALA;24.9;0;un
SKAKSE2UN;7897042013760;Kit de shampoo em sal Vegano e condicionador Camelia do Campo;SKALA;24.9;0;un
AVALLB1UN;7899452032119;Lampda de Led Branca Integrado;AVANT;9.98;0;un
PREPRV12UN;7898722500006;Prendedores de Roupas de Varal;Prende Mais;4.98;0;un
SUAPSS35G;7896366204038;Pedra Sanitaria Suave Perfumada;Suave Lar;2.99;0;g
DESPSO35G;7896224300025;Pedra Sanitaria Odorizante;Desolar Floral Flores;2.49;0;g
LUSPAL60G;7891022850031;Palha de Aço de Limpeza de Panela Esponja de Aço;Lustro;3.99;0;g
BOMPAL45G;7891022868036;Palha de Aço de Limpeza Eco;BOMBRIL;4.99;0;g
ALPSEB5UN;7896274823857;Sabão em Barra Lavanda Glicerinado;Alpes;14.99;0;un
ANJTUH120UN;7898172343222;Toalhas Umidecidas  Hipoalergêcas;Anjinho;14.99;0;un
BARSEB5UN;7896724823864;Sabão em barra Lavanda Glicerinado;Barra Nova;12.98;0;un
ALPSEB800G;7896274803996;Sabão em barra lavanda Glicerinado;Alpes;13.99;0;g
TINELP4UN;7891040198726;Esponja de Limpeza Pesada;Tinindo;5.99;0;un
COTCLO75UN;7898095296063;Contonete de Limpeza de Ouvido Antigerme;COTTON Lime;4.99;0;un
SOLGP50UN;7898383300090;Guardanapos de papel;SOL;2.99;0;un
ESFEC0G;7896001004504;Esponja de Cozinha;EsfreBom;2.99;0;kg
BRIEM1UN;7896001004511;Esponja Multiuso;Brillus;0;0;un
ESPEM3UN;7908099201366;Esponja Multiuso;ESPOFLORA;3.99;0;un
PARVC6UN;7897818100021;Velas de Cera;PARTIKA;5.99;0;un
IGUVC6UN;7896017414304;Velas de Cera ;Iguaçu;5.99;0;un
ROYSPE50UN;7898021428681;Sacos Plasticos Embalagem Multiuso;RoyalPack;5.99;0;un
MILAFN8UN;7896104993897;Absorvente Feminino Noturno com abas;Mili;7.99;0;un
SYMATF8UN;7896110002248;Absorvente Tolhas Femininas Rosa;Sym;6.99;0;un
SYMATF0G;7896110003863;Absorvente Toalhas Femininas;Sym;0;0;kg
YPESLE180G;7896098905913;Sabão de Lavanda em Barra Neutro;Ype;4.99;0;g
NETSLG200G;7898043365179;Sabão de Lavanda Glicerinado Barra;Netz;3.99;0;g
TRISCL200G;7896527700829;Sabão de Coco de Lavanda;TRIEX;3.99;0;g
XTRGGC230G;7897273760167; GELCOLA Gel de Cabelo EXTREME;XTREME;14.98;0;g
SPCTDP100G;7896049540019;Talco Desodorante para Pes Tênis pé SPC;SPC;11.49;0;g
CLOPDM70G;7891150049871;Pasta de Dente Menta Americana com Calcio;CLOSEUP;4.99;0;g
CLOPDM70G-2;7891150049895;Pasta de Dente Menta com Calcio;CLOSEUP;0;0;g
DOVSHB90G;7898422746759;Sabonte Hidratante Banho de Creme;Dove;4.99;0;g
FONSHB85G;7896012104934;Sabonete Hidratante Banho Nature;Fontona Soft;1.99;0;g
CLISHB85G;630941057858;Sabonete Hidratante Banho Lavanda;CLISS;1.99;0;g
MOTSHB90G;7898908026054;Sabonete Hidratante Banho Doçura;Motivus;0;0;g
SIESHB85G;7898086585947;Sabonte Hisdratante de Banho Erva Doce;Sie Ne;1.99;0;g
SIESHB85G-2;7898086585930;Sabonte Hidrantante Banho Rosas Vermelhas;Sie Ne;1.99;0;g
REXSHA84G;7891150066908;Sabonete Hidratante Antibacterial com Esfoliante;Rexona;4.2;0;g
123SHB80G;7896012140048;Sabonete Hidratante banho Sabonte Cremoso;123 Baby;5.39;0;g
ALBSHP85G;7908324403992;Sabonete Hidratante Perfumes da Natureza Rosa Aveludada;ALBANY;3.99;0;g
MARSHB85G;7896394800196;Sabonete Hidratante de Banho Rosas Suave;MARAN;1.99;0;g
MARSHB85G-2;7896394800189;Sabonete Hisdratante de Banho Amêndoas;MARAN;1.99;0;g
ALBSHB85G;7908324404005;Sabonete Hidratante de Banho Perfumes da Natureza;ALBANY;3.99;0;g
ALBSHN85G;7897664171725;Sabonete Hidratante Nutritivo Oleo de Macadâmia;ALBANY;3.99;0;g
NIPSBH85G;7896978200046;Sabonete de Banho Hidratante Frutas Citricas;Nips;2.49;0;g
NIPSBH85G-2;7896978200039;Sabonote de Banho Hidratantes Frutas Vermelhas;Nips;2.49;0;g
NIPSMV85G;7896978200053;Sabonete Mate Verde Hidratante;Nips;2.49;0;g
QBOASC1000L;7896083800018;Agua Sanitaria Cloro Ativo;Qboa;4.99;0;l
BABARA2000L;7896075990727;Amacinate de Roupas Azul;Baby Soft GTEX;8.99;0;l
BABARD2000L;7896075910466;Amaciante de roupas Dark Blue;Baby Soft GTEX;8.99;0;l
BABARB2000L;7896075910022;Amaciante de Roupas Baby Soft Leitado;Baby Soft GTEX;8.99;0;l
OMOSEP800G-2;7891150064317;Sabão em Pó Lava Roupas;OMO;16.99;0;g
KLISEP1000G;7896241900017;Sabão em Pó Lava roupas ;Klip;8.99;0;kg
COQSEP1000G;7896040707473;Sabão em Pó Lava Roupas Veganos;COQUEL;14.99;0;kg
BLULRE1000G;7896241900109;Lava Roupa em Pó;Blue Forca Azul UP;12.99;0;kg
TERLUI1000L;7898915414011;Leite UHT Integral Terra Viva;Terra Viva;5.99;0;l
KAPPOA1UN;7898953017557;Phone de Ouvido a Cabo Stereo KA-6119;KAPBOM;29.99;0;un
I7MPOB1UN;4898653011421;Phone de ouvido Bluethoot i7-Mini 5.0;i7-Mini;74.99;0;un
MUSPOA1UN;7898953017649;Phone de Ouvido a cabo Headset Stereo;MUSICEARPHONE;14.99;0;un
